,ID,Structure,Control,Exhaustion,Disconnection,Gender
1,6,4.75,5.25,4.6,4.861111111,Male
2,78,4.5,3,4.2,5.416666667,Male
3,89,7,3,4.2,2,Female
4,61,4.125,3.25,4,3,Male
5,67,5.25,3.25,4,3.666666667,Male
6,143,6,2,4,3.083333333,Female
7,121,5.25,2.25,3.8,3.583333333,Female
8,1,4.714285714,6.25,3.6,3.166666667,Male
9,44,4.625,3.75,3.6,1.833333333,Male
10,88,5.875,3,3.6,4.583333333,Female
11,90,2.75,2.75,3.6,4,Male
12,96,5,2.75,3.6,1.25,Male
13,156,5.375,1.75,3.6,1.166666667,Female
14,36,4.5,4,3.4,3,Male
15,37,4.875,4,3.4,3.916666667,Male
16,86,5.5,3,3.4,5.583333333,Male
17,101,6.5,2.75,3.4,1.166666667,Female
18,47,5.5,3.75,3.25,2.083333333,Male
19,4,4.75,5.75,3.2,3.861111111,Male
20,66,4.75,3.25,3.2,4.944444444,Male
21,73,6.125,3.25,3.2,4.166666667,Male
22,188,4.5,1,3.2,2.388888889,Female
23,32,4,4,3,3.75,Male
24,54,5,3.5,3,2.916666667,Male
25,57,5.625,3.5,3,3.083333333,Male
26,62,4.375,3.25,3,3.5,Male
27,68,5.25,3.25,3,4.5,Male
28,75,3.875,3,3,3.916666667,Female
29,84,5.25,3,3,4,Female
30,103,3.75,2.5,3,2.083333333,Female
31,108,5.5,2.5,3,4.833333333,Female
32,151,5,1.75,3,1.5,Female
33,155,5.25,1.75,3,3.916666667,Female
34,193,5.125,1,3,3.805555556,Female
35,3,5.125,6,2.8,1.75,Male
36,26,4.875,4.25,2.8,1,Male
37,27,5.125,4.25,2.8,6.222222222,Male
38,34,4.125,4,2.8,2.833333333,Male
39,50,3.75,3.5,2.8,4.333333333,Male
40,127,6.125,2.25,2.8,2.666666667,Female
41,145,6.25,2,2.8,1.333333333,Female
42,194,5.375,1,2.8,2.666666667,Female
43,23,4.625,4.25,2.75,1.75,Male
44,5,6.125,5.5,2.6,5.083333333,Male
45,14,5,4.75,2.6,2.5,Male
46,38,5.125,4,2.6,5.194444444,Male
47,41,6.75,4,2.6,3.5,Male
48,56,5.375,3.5,2.6,2.5,Male
49,70,5.375,3.25,2.6,3.25,Male
50,79,4.5,3,2.6,3,Male
51,82,5.125,3,2.6,3.083333333,Female
52,91,4,2.75,2.6,2.472222222,Female
53,98,5.875,2.75,2.6,3.25,Female
54,105,5.25,2.5,2.6,3.25,Female
55,140,5.875,2,2.6,2.166666667,Female
56,146,6.25,2,2.6,1.166666667,Female
57,153,5.125,1.75,2.6,1.5,Female
58,154,5.125,1.75,2.6,1.833333333,Female
59,160,5.75,1.75,2.6,2.25,Female
60,163,6.375,1.75,2.6,1,Female
61,205,5.875,1,2.6,1.916666667,Female
62,29,6.375,4.25,2.4,4.166666667,Female
63,65,4.5,3.25,2.4,3.333333333,Female
64,106,5.375,2.5,2.4,2.5,Female
65,118,4.125,2.25,2.4,3.083333333,Female
66,126,6,2.25,2.4,1.333333333,Female
67,128,6.125,2.25,2.4,1.25,Female
68,147,2.625,1.75,2.4,3.916666667,Female
69,148,4.25,1.75,2.4,1.5,Male
70,157,5.375,1.75,2.4,3,Male
71,181,5.625,1.25,2.4,2.083333333,Male
72,187,4.375,1,2.4,2.416666667,Male
73,202,5.75,1,2.4,2.666666667,Male
74,206,5.875,1,2.4,2.333333333,Male
75,63,4.375,3.25,2.25,3.416666667,Male
76,2,4.375,6,2.2,2.916666667,Male
77,20,5.285714286,4.5,2.2,4.25,Male
78,22,4,4.25,2.2,3.5,Male
79,24,4.625,4.25,2.2,4,Male
80,60,3.714285714,3.25,2.2,4.25,Female
81,64,4.375,3.25,2.2,2.25,Female
82,97,5.25,2.75,2.2,2.333333333,Female
83,100,6,2.75,2.2,1.166666667,Female
84,111,5.875,2.5,2.2,3,Female
85,123,5.625,2.25,2.2,2.083333333,Female
86,124,5.875,2.25,2.2,3.166666667,Female
87,141,5.875,2,2.2,1.083333333,Female
88,159,5.625,1.75,2.2,4.166666667,Female
89,180,5,1.25,2.2,2.916666667,Female
90,197,5.5,1,2.2,3.083333333,Female
91,211,6.875,1,2.2,1,Female
92,7,5,5.25,2,4.25,Female
93,19,4,4.5,2,3.833333333,Female
94,21,5.5,4.5,2,1.75,Female
95,30,3.75,4,2,4.416666667,Female
96,40,6.25,4,2,1.611111111,Female
97,43,4.5,3.75,2,3.805555556,Female
98,74,6.25,3.25,2,2.25,Female
